/scratch1/tsa5252/anaconda3/lib/python3.11/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
Starting PPO Teacher Training on CartPole-v1...
global_step=60, episodic_return=15.00
global_step=152, episodic_return=22.00
global_step=216, episodic_return=15.00
global_step=288, episodic_return=17.00
global_step=372, episodic_return=20.00
global_step=436, episodic_return=15.00
global_step=524, episodic_return=21.00
global_step=680, episodic_return=38.00
global_step=772, episodic_return=22.00
global_step=872, episodic_return=24.00
global_step=940, episodic_return=16.00
global_step=992, episodic_return=12.00
global_step=1052, episodic_return=14.00
global_step=1248, episodic_return=48.00
global_step=1336, episodic_return=21.00
global_step=1516, episodic_return=44.00
global_step=1620, episodic_return=25.00
global_step=1680, episodic_return=14.00
global_step=1892, episodic_return=52.00
global_step=1996, episodic_return=25.00
global_step=2056, episodic_return=14.00
global_step=2100, episodic_return=10.00
global_step=2160, episodic_return=14.00
global_step=2292, episodic_return=32.00
global_step=2364, episodic_return=17.00
global_step=2488, episodic_return=30.00
global_step=2632, episodic_return=35.00
global_step=2780, episodic_return=36.00
global_step=2880, episodic_return=24.00
global_step=2956, episodic_return=18.00
global_step=3020, episodic_return=15.00
global_step=3120, episodic_return=24.00
global_step=3172, episodic_return=12.00
global_step=3216, episodic_return=10.00
global_step=3264, episodic_return=11.00
global_step=3336, episodic_return=17.00
global_step=3400, episodic_return=15.00
global_step=3476, episodic_return=18.00
global_step=3592, episodic_return=28.00
global_step=3684, episodic_return=22.00
global_step=3724, episodic_return=9.00
global_step=3804, episodic_return=19.00
global_step=3920, episodic_return=28.00
global_step=3976, episodic_return=13.00
global_step=4036, episodic_return=14.00
global_step=4096, episodic_return=14.00
global_step=4144, episodic_return=11.00
global_step=4212, episodic_return=16.00
global_step=4296, episodic_return=20.00
global_step=4384, episodic_return=21.00
global_step=4516, episodic_return=32.00
global_step=4568, episodic_return=12.00
global_step=4700, episodic_return=32.00
global_step=4904, episodic_return=50.00
global_step=4960, episodic_return=13.00
global_step=5044, episodic_return=20.00
global_step=5120, episodic_return=18.00
global_step=5196, episodic_return=18.00
global_step=5252, episodic_return=13.00
global_step=5352, episodic_return=24.00
global_step=5392, episodic_return=9.00
global_step=5456, episodic_return=15.00
global_step=5568, episodic_return=27.00
global_step=5684, episodic_return=28.00
global_step=5728, episodic_return=10.00
global_step=5784, episodic_return=13.00
global_step=5940, episodic_return=38.00
global_step=6000, episodic_return=14.00
global_step=6104, episodic_return=25.00
global_step=6176, episodic_return=17.00
global_step=6236, episodic_return=14.00
global_step=6360, episodic_return=30.00
global_step=6432, episodic_return=17.00
global_step=6500, episodic_return=16.00
global_step=6592, episodic_return=22.00
global_step=6648, episodic_return=13.00
global_step=6708, episodic_return=14.00
global_step=6836, episodic_return=31.00
global_step=7124, episodic_return=71.00
global_step=7188, episodic_return=15.00
global_step=7240, episodic_return=12.00
global_step=7320, episodic_return=19.00
global_step=7424, episodic_return=25.00
global_step=7536, episodic_return=27.00
global_step=7640, episodic_return=25.00
global_step=7712, episodic_return=17.00
global_step=7796, episodic_return=20.00
global_step=7900, episodic_return=25.00
global_step=7984, episodic_return=20.00
global_step=8056, episodic_return=17.00
global_step=8164, episodic_return=26.00
Eval: global_step=8192, reward=64.80 +/- 12.42
global_step=8304, episodic_return=34.00
global_step=8672, episodic_return=91.00
global_step=9052, episodic_return=94.00
global_step=9128, episodic_return=18.00
global_step=9188, episodic_return=14.00
global_step=9280, episodic_return=22.00
global_step=9328, episodic_return=11.00
global_step=9400, episodic_return=17.00
global_step=9576, episodic_return=43.00
global_step=9780, episodic_return=50.00
global_step=9948, episodic_return=41.00
global_step=10004, episodic_return=13.00
global_step=10104, episodic_return=24.00
global_step=10248, episodic_return=35.00
global_step=10308, episodic_return=14.00
global_step=10484, episodic_return=43.00
global_step=10568, episodic_return=20.00
global_step=10636, episodic_return=16.00
global_step=10772, episodic_return=33.00
global_step=10868, episodic_return=23.00
global_step=11084, episodic_return=53.00
global_step=11184, episodic_return=24.00
global_step=11232, episodic_return=11.00
global_step=11284, episodic_return=12.00
global_step=11560, episodic_return=68.00
global_step=11752, episodic_return=47.00
global_step=11816, episodic_return=15.00
global_step=11900, episodic_return=20.00
global_step=12044, episodic_return=35.00
global_step=12148, episodic_return=25.00
global_step=12360, episodic_return=52.00
global_step=12480, episodic_return=29.00
global_step=12564, episodic_return=20.00
global_step=12672, episodic_return=26.00
global_step=12728, episodic_return=13.00
global_step=12792, episodic_return=15.00
global_step=12924, episodic_return=32.00
global_step=12972, episodic_return=11.00
global_step=13116, episodic_return=35.00
global_step=13168, episodic_return=12.00
global_step=13372, episodic_return=50.00
global_step=13436, episodic_return=15.00
global_step=13576, episodic_return=34.00
global_step=13740, episodic_return=40.00
global_step=13856, episodic_return=28.00
global_step=13908, episodic_return=12.00
global_step=14080, episodic_return=42.00
global_step=14172, episodic_return=22.00
global_step=14512, episodic_return=84.00
global_step=14612, episodic_return=24.00
global_step=14820, episodic_return=51.00
global_step=15060, episodic_return=59.00
global_step=15204, episodic_return=35.00
global_step=15272, episodic_return=16.00
global_step=15424, episodic_return=37.00
global_step=15584, episodic_return=39.00
global_step=15704, episodic_return=29.00
global_step=15836, episodic_return=32.00
global_step=16108, episodic_return=67.00
global_step=16184, episodic_return=18.00
global_step=16280, episodic_return=23.00
global_step=16372, episodic_return=22.00
Eval: global_step=16384, reward=315.90 +/- 163.05
global_step=16752, episodic_return=94.00
global_step=17020, episodic_return=66.00
global_step=17416, episodic_return=98.00
global_step=17740, episodic_return=80.00
global_step=18112, episodic_return=92.00
global_step=18596, episodic_return=120.00
global_step=19004, episodic_return=101.00
global_step=19116, episodic_return=27.00
global_step=19172, episodic_return=13.00
global_step=19548, episodic_return=93.00
global_step=19816, episodic_return=66.00
global_step=19984, episodic_return=41.00
global_step=20476, episodic_return=122.00
global_step=21000, episodic_return=130.00
global_step=21564, episodic_return=140.00
global_step=22272, episodic_return=176.00
global_step=22652, episodic_return=94.00
global_step=22848, episodic_return=48.00
global_step=23280, episodic_return=107.00
global_step=23400, episodic_return=29.00
global_step=23468, episodic_return=16.00
global_step=23604, episodic_return=33.00
global_step=23724, episodic_return=29.00
global_step=23896, episodic_return=42.00
global_step=24100, episodic_return=50.00
global_step=24500, episodic_return=99.00
global_step=24552, episodic_return=12.00
Eval: global_step=24576, reward=366.20 +/- 118.15
global_step=24972, episodic_return=104.00
global_step=25476, episodic_return=125.00
global_step=26060, episodic_return=145.00
global_step=26580, episodic_return=129.00
global_step=27036, episodic_return=113.00
global_step=27188, episodic_return=37.00
global_step=27708, episodic_return=129.00
global_step=28204, episodic_return=123.00
global_step=28384, episodic_return=44.00
global_step=28460, episodic_return=18.00
global_step=29216, episodic_return=188.00
global_step=29348, episodic_return=32.00
global_step=29844, episodic_return=123.00
global_step=29972, episodic_return=31.00
global_step=30676, episodic_return=175.00
global_step=30840, episodic_return=40.00
global_step=31036, episodic_return=48.00
global_step=31556, episodic_return=129.00
global_step=32496, episodic_return=234.00
Eval: global_step=32768, reward=425.30 +/- 75.15
global_step=33504, episodic_return=251.00
global_step=34092, episodic_return=146.00
global_step=34732, episodic_return=159.00
global_step=35980, episodic_return=311.00
global_step=36500, episodic_return=129.00
global_step=37008, episodic_return=126.00
global_step=37264, episodic_return=63.00
global_step=37936, episodic_return=167.00
global_step=39088, episodic_return=287.00
global_step=39328, episodic_return=59.00
global_step=39848, episodic_return=129.00
global_step=40288, episodic_return=109.00
Eval: global_step=40960, reward=434.10 +/- 82.15
global_step=41128, episodic_return=209.00
global_step=42660, episodic_return=382.00
global_step=44220, episodic_return=389.00
global_step=45684, episodic_return=365.00
global_step=47332, episodic_return=411.00
Eval: global_step=49152, reward=492.20 +/- 23.40
global_step=49336, episodic_return=500.00
global_step=50620, episodic_return=320.00
global_step=51832, episodic_return=302.00
global_step=53540, episodic_return=426.00
global_step=55544, episodic_return=500.00
global_step=56104, episodic_return=139.00
Eval: global_step=57344, reward=494.40 +/- 16.80
global_step=57512, episodic_return=351.00
global_step=59508, episodic_return=498.00
global_step=61300, episodic_return=447.00
global_step=62532, episodic_return=307.00
global_step=64124, episodic_return=397.00
global_step=64200, episodic_return=18.00
Eval: global_step=65536, reward=500.00 +/- 0.00
global_step=65620, episodic_return=354.00
global_step=67624, episodic_return=500.00
global_step=69628, episodic_return=500.00
global_step=71632, episodic_return=500.00
global_step=73568, episodic_return=483.00
Eval: global_step=73728, reward=449.30 +/- 52.41
global_step=75572, episodic_return=500.00
global_step=76360, episodic_return=196.00
global_step=77808, episodic_return=361.00
global_step=79812, episodic_return=500.00
global_step=81624, episodic_return=452.00
Eval: global_step=81920, reward=500.00 +/- 0.00
global_step=83628, episodic_return=500.00
global_step=85632, episodic_return=500.00
global_step=86996, episodic_return=340.00
global_step=88480, episodic_return=370.00
Eval: global_step=90112, reward=500.00 +/- 0.00
global_step=90484, episodic_return=500.00
global_step=92488, episodic_return=500.00
global_step=94492, episodic_return=500.00
global_step=96496, episodic_return=500.00
global_step=97208, episodic_return=177.00
Eval: global_step=98304, reward=499.20 +/- 2.40
global_step=99212, episodic_return=500.00
global_step=101216, episodic_return=500.00
global_step=102712, episodic_return=373.00
global_step=104252, episodic_return=384.00
global_step=106124, episodic_return=467.00
Eval: global_step=106496, reward=466.80 +/- 31.05
global_step=108128, episodic_return=500.00
global_step=110132, episodic_return=500.00
global_step=111168, episodic_return=258.00
global_step=112356, episodic_return=296.00
global_step=113516, episodic_return=289.00
global_step=114604, episodic_return=271.00
Eval: global_step=114688, reward=500.00 +/- 0.00
global_step=116360, episodic_return=438.00
global_step=117800, episodic_return=359.00
global_step=119804, episodic_return=500.00
global_step=121128, episodic_return=330.00
Eval: global_step=122880, reward=500.00 +/- 0.00
global_step=123132, episodic_return=500.00
global_step=124860, episodic_return=431.00
global_step=126504, episodic_return=410.00
global_step=127004, episodic_return=124.00
global_step=129008, episodic_return=500.00
global_step=131012, episodic_return=500.00
Eval: global_step=131072, reward=500.00 +/- 0.00
global_step=133016, episodic_return=500.00
