/scratch1/tsa5252/anaconda3/lib/python3.11/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
[[36m2026-02-28 03:52:26,142[0m][[34mOpenGL.acceleratesupport[0m][[32mINFO[0m] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'[0m
Starting PPO Teacher Training on HalfCheetah-v5...
global_step=4000, episodic_return=-157.09
global_step=8004, episodic_return=-181.99
Eval: global_step=8192, reward=-0.04 +/- 0.80
global_step=12008, episodic_return=-75.59
global_step=16012, episodic_return=-121.37
Eval: global_step=16384, reward=-0.93 +/- 0.56
global_step=20016, episodic_return=-94.66
global_step=24020, episodic_return=-66.63
Eval: global_step=24576, reward=-0.72 +/- 0.57
global_step=28024, episodic_return=2.04
global_step=32028, episodic_return=11.40
Eval: global_step=32768, reward=-1.64 +/- 0.85
global_step=36032, episodic_return=-61.88
global_step=40036, episodic_return=29.91
Eval: global_step=40960, reward=-1.13 +/- 0.73
global_step=44040, episodic_return=51.42
global_step=48044, episodic_return=28.33
Eval: global_step=49152, reward=-2.22 +/- 0.75
global_step=52048, episodic_return=125.04
global_step=56052, episodic_return=90.65
Eval: global_step=57344, reward=-1.53 +/- 0.56
global_step=60056, episodic_return=136.75
global_step=64060, episodic_return=259.70
Eval: global_step=65536, reward=3.87 +/- 0.78
global_step=68064, episodic_return=-48.61
global_step=72068, episodic_return=291.72
Eval: global_step=73728, reward=32.06 +/- 1.33
global_step=76072, episodic_return=292.93
global_step=80076, episodic_return=293.78
Eval: global_step=81920, reward=139.94 +/- 1.72
global_step=84080, episodic_return=376.66
global_step=88084, episodic_return=374.99
Eval: global_step=90112, reward=210.24 +/- 2.58
global_step=92088, episodic_return=350.82
global_step=96092, episodic_return=322.23
Eval: global_step=98304, reward=260.40 +/- 3.87
global_step=100096, episodic_return=388.36
global_step=104100, episodic_return=476.30
Eval: global_step=106496, reward=396.00 +/- 4.41
global_step=108104, episodic_return=565.47
global_step=112108, episodic_return=39.18
Eval: global_step=114688, reward=391.12 +/- 2.22
global_step=116112, episodic_return=23.32
global_step=120116, episodic_return=528.75
Eval: global_step=122880, reward=485.70 +/- 4.81
global_step=124120, episodic_return=685.21
global_step=128124, episodic_return=151.67
Eval: global_step=131072, reward=577.83 +/- 6.30
global_step=132128, episodic_return=79.36
global_step=136132, episodic_return=731.43
Eval: global_step=139264, reward=729.11 +/- 7.10
global_step=140136, episodic_return=427.41
global_step=144140, episodic_return=883.85
Eval: global_step=147456, reward=842.22 +/- 8.55
global_step=148144, episodic_return=717.86
global_step=152148, episodic_return=87.74
Eval: global_step=155648, reward=865.01 +/- 8.77
global_step=156152, episodic_return=189.84
global_step=160156, episodic_return=89.61
Eval: global_step=163840, reward=819.51 +/- 4.64
global_step=164160, episodic_return=687.79
global_step=168164, episodic_return=279.90
Eval: global_step=172032, reward=859.27 +/- 3.09
global_step=172168, episodic_return=674.07
global_step=176172, episodic_return=859.20
global_step=180176, episodic_return=807.36
Eval: global_step=180224, reward=881.99 +/- 4.92
global_step=184180, episodic_return=704.44
global_step=188184, episodic_return=923.72
Eval: global_step=188416, reward=994.10 +/- 10.01
global_step=192188, episodic_return=973.21
global_step=196192, episodic_return=1038.00
Eval: global_step=196608, reward=1104.31 +/- 16.86
global_step=200196, episodic_return=1056.84
global_step=204200, episodic_return=664.49
Eval: global_step=204800, reward=1206.84 +/- 11.50
global_step=208204, episodic_return=1142.51
global_step=212208, episodic_return=1121.64
Eval: global_step=212992, reward=1256.90 +/- 24.11
global_step=216212, episodic_return=1231.58
global_step=220216, episodic_return=927.37
Eval: global_step=221184, reward=1467.81 +/- 12.96
global_step=224220, episodic_return=1071.35
global_step=228224, episodic_return=1321.92
Eval: global_step=229376, reward=1440.92 +/- 11.14
global_step=232228, episodic_return=1250.15
global_step=236232, episodic_return=1183.68
Eval: global_step=237568, reward=1440.30 +/- 8.51
global_step=240236, episodic_return=1306.06
global_step=244240, episodic_return=1440.53
Eval: global_step=245760, reward=1551.18 +/- 7.95
global_step=248244, episodic_return=1373.28
global_step=252248, episodic_return=1421.37
Eval: global_step=253952, reward=1665.00 +/- 16.47
global_step=256252, episodic_return=1465.01
global_step=260256, episodic_return=609.04
Eval: global_step=262144, reward=1714.85 +/- 14.71
global_step=264260, episodic_return=843.39
global_step=268264, episodic_return=1526.68
Eval: global_step=270336, reward=1788.89 +/- 33.87
global_step=272268, episodic_return=1560.81
global_step=276272, episodic_return=991.53
Eval: global_step=278528, reward=1761.97 +/- 24.32
global_step=280276, episodic_return=1623.59
global_step=284280, episodic_return=1701.35
Eval: global_step=286720, reward=1747.54 +/- 35.21
global_step=288284, episodic_return=284.86
global_step=292288, episodic_return=430.43
Eval: global_step=294912, reward=1734.70 +/- 38.16
global_step=296292, episodic_return=1646.87
global_step=300296, episodic_return=1670.45
Eval: global_step=303104, reward=1920.17 +/- 37.07
global_step=304300, episodic_return=1777.09
global_step=308304, episodic_return=1782.51
Eval: global_step=311296, reward=1993.48 +/- 30.62
global_step=312308, episodic_return=1632.26
global_step=316312, episodic_return=1765.36
Eval: global_step=319488, reward=2072.56 +/- 19.24
global_step=320316, episodic_return=335.03
global_step=324320, episodic_return=1870.54
Eval: global_step=327680, reward=2220.71 +/- 31.84
global_step=328324, episodic_return=744.34
global_step=332328, episodic_return=607.51
Eval: global_step=335872, reward=2201.21 +/- 31.28
global_step=336332, episodic_return=1987.42
global_step=340336, episodic_return=1965.61
Eval: global_step=344064, reward=2297.64 +/- 27.70
global_step=344340, episodic_return=1819.28
global_step=348344, episodic_return=2001.86
Eval: global_step=352256, reward=2454.71 +/- 18.56
global_step=352348, episodic_return=2082.39
global_step=356352, episodic_return=2023.11
global_step=360356, episodic_return=2062.93
Eval: global_step=360448, reward=2472.07 +/- 30.15
global_step=364360, episodic_return=1548.88
global_step=368364, episodic_return=2008.27
Eval: global_step=368640, reward=2503.13 +/- 27.57
global_step=372368, episodic_return=99.08
global_step=376372, episodic_return=2189.84
Eval: global_step=376832, reward=2606.13 +/- 20.98
global_step=380376, episodic_return=2259.56
global_step=384380, episodic_return=1229.72
Eval: global_step=385024, reward=2653.47 +/- 41.03
global_step=388384, episodic_return=500.38
global_step=392388, episodic_return=424.37
Eval: global_step=393216, reward=2568.79 +/- 26.64
global_step=396392, episodic_return=2225.89
global_step=400396, episodic_return=2302.73
Eval: global_step=401408, reward=2590.71 +/- 26.90
global_step=404400, episodic_return=2221.73
global_step=408404, episodic_return=1150.95
Eval: global_step=409600, reward=2654.10 +/- 30.32
global_step=412408, episodic_return=2289.38
global_step=416412, episodic_return=2279.19
Eval: global_step=417792, reward=2684.63 +/- 27.69
global_step=420416, episodic_return=2326.56
global_step=424420, episodic_return=1883.26
Eval: global_step=425984, reward=2725.77 +/- 24.43
global_step=428424, episodic_return=2304.46
global_step=432428, episodic_return=2419.87
Eval: global_step=434176, reward=2757.66 +/- 17.51
global_step=436432, episodic_return=1059.13
global_step=440436, episodic_return=2252.54
Eval: global_step=442368, reward=2762.22 +/- 25.44
global_step=444440, episodic_return=2421.14
global_step=448444, episodic_return=2495.52
Eval: global_step=450560, reward=2751.78 +/- 29.98
global_step=452448, episodic_return=2459.81
global_step=456452, episodic_return=2340.50
Eval: global_step=458752, reward=2830.12 +/- 26.87
global_step=460456, episodic_return=2409.74
global_step=464460, episodic_return=2535.13
Eval: global_step=466944, reward=2901.09 +/- 43.92
global_step=468464, episodic_return=2597.12
global_step=472468, episodic_return=1329.16
Eval: global_step=475136, reward=2979.09 +/- 46.29
global_step=476472, episodic_return=2543.22
global_step=480476, episodic_return=1966.92
Eval: global_step=483328, reward=2976.19 +/- 29.68
global_step=484480, episodic_return=2579.45
global_step=488484, episodic_return=2642.45
Eval: global_step=491520, reward=2963.04 +/- 30.66
global_step=492488, episodic_return=2554.86
global_step=496492, episodic_return=2536.41
Eval: global_step=499712, reward=2947.43 +/- 21.57
global_step=500496, episodic_return=2674.80
global_step=504500, episodic_return=125.34
Eval: global_step=507904, reward=3011.69 +/- 31.68
global_step=508504, episodic_return=2603.41
global_step=512508, episodic_return=2639.21
Eval: global_step=516096, reward=2921.73 +/- 461.64
global_step=516512, episodic_return=2562.07
global_step=520516, episodic_return=2635.07
Eval: global_step=524288, reward=3118.72 +/- 35.38
global_step=524520, episodic_return=2711.38
global_step=528524, episodic_return=2626.90
Eval: global_step=532480, reward=3153.66 +/- 36.28
global_step=532528, episodic_return=1185.86
global_step=536532, episodic_return=2753.97
global_step=540536, episodic_return=1290.22
Eval: global_step=540672, reward=3164.05 +/- 20.97
global_step=544540, episodic_return=2785.61
global_step=548544, episodic_return=2774.91
Eval: global_step=548864, reward=3202.20 +/- 36.91
global_step=552548, episodic_return=2767.85
global_step=556552, episodic_return=2785.77
Eval: global_step=557056, reward=3203.99 +/- 35.49
global_step=560556, episodic_return=2784.30
global_step=564560, episodic_return=262.91
Eval: global_step=565248, reward=3178.61 +/- 33.24
global_step=568564, episodic_return=2853.89
global_step=572568, episodic_return=2818.50
Eval: global_step=573440, reward=2981.02 +/- 696.82
global_step=576572, episodic_return=2828.50
global_step=580576, episodic_return=429.10
Eval: global_step=581632, reward=3260.25 +/- 45.02
global_step=584580, episodic_return=2821.86
global_step=588584, episodic_return=2744.48
Eval: global_step=589824, reward=3214.24 +/- 77.05
global_step=592588, episodic_return=2525.98
global_step=596592, episodic_return=2841.90
Eval: global_step=598016, reward=3258.37 +/- 51.91
global_step=600596, episodic_return=2844.72
global_step=604600, episodic_return=2796.04
Eval: global_step=606208, reward=2977.61 +/- 863.77
global_step=608604, episodic_return=2946.87
global_step=612608, episodic_return=2933.50
Eval: global_step=614400, reward=3193.78 +/- 128.89
global_step=616612, episodic_return=2921.45
global_step=620616, episodic_return=2918.12
Eval: global_step=622592, reward=3021.20 +/- 608.42
global_step=624620, episodic_return=3002.65
global_step=628624, episodic_return=2879.16
Eval: global_step=630784, reward=3261.13 +/- 24.49
global_step=632628, episodic_return=2853.82
global_step=636632, episodic_return=2974.93
Eval: global_step=638976, reward=3131.13 +/- 460.06
global_step=640636, episodic_return=3065.42
global_step=644640, episodic_return=2968.18
Eval: global_step=647168, reward=3193.40 +/- 169.05
global_step=648644, episodic_return=63.63
global_step=652648, episodic_return=2979.42
Eval: global_step=655360, reward=3296.62 +/- 52.15
global_step=656652, episodic_return=2928.16
global_step=660656, episodic_return=2969.10
Eval: global_step=663552, reward=2922.45 +/- 777.73
global_step=664660, episodic_return=2933.34
global_step=668664, episodic_return=67.28
Eval: global_step=671744, reward=2899.58 +/- 828.80
global_step=672668, episodic_return=3024.99
global_step=676672, episodic_return=1976.72
Eval: global_step=679936, reward=3195.77 +/- 349.71
global_step=680676, episodic_return=2971.16
global_step=684680, episodic_return=2841.48
Eval: global_step=688128, reward=3037.22 +/- 864.74
global_step=688684, episodic_return=2908.60
global_step=692688, episodic_return=2952.44
Eval: global_step=696320, reward=3329.45 +/- 32.69
