/scratch1/tsa5252/anaconda3/lib/python3.11/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
[[36m2026-02-28 02:34:44,473[0m][[34mOpenGL.acceleratesupport[0m][[32mINFO[0m] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'[0m
Starting PPO Teacher Training on Hopper-v5...
global_step=188, episodic_return=23.50
global_step=344, episodic_return=38.06
global_step=444, episodic_return=21.67
global_step=784, episodic_return=110.55
global_step=860, episodic_return=15.26
global_step=928, episodic_return=13.08
global_step=988, episodic_return=7.48
global_step=1100, episodic_return=17.30
global_step=1164, episodic_return=10.19
global_step=1308, episodic_return=24.64
global_step=1380, episodic_return=15.36
global_step=1476, episodic_return=13.30
global_step=1644, episodic_return=56.76
global_step=1740, episodic_return=17.98
global_step=1892, episodic_return=40.60
global_step=2016, episodic_return=23.93
global_step=2140, episodic_return=31.47
global_step=2232, episodic_return=11.99
global_step=2296, episodic_return=11.97
global_step=2424, episodic_return=17.34
global_step=2508, episodic_return=16.77
global_step=2604, episodic_return=12.71
global_step=2864, episodic_return=60.87
global_step=3000, episodic_return=19.55
global_step=3144, episodic_return=31.57
global_step=3220, episodic_return=15.60
global_step=3340, episodic_return=26.10
global_step=3400, episodic_return=12.00
global_step=3488, episodic_return=14.81
global_step=3580, episodic_return=18.18
global_step=3644, episodic_return=10.62
global_step=3796, episodic_return=25.26
global_step=3928, episodic_return=22.49
global_step=4024, episodic_return=13.67
global_step=4096, episodic_return=10.11
global_step=4240, episodic_return=33.77
global_step=4364, episodic_return=23.07
global_step=4504, episodic_return=20.71
global_step=4588, episodic_return=12.49
global_step=4672, episodic_return=22.13
global_step=4756, episodic_return=16.35
global_step=4892, episodic_return=28.56
global_step=4996, episodic_return=22.86
global_step=5104, episodic_return=22.68
global_step=5348, episodic_return=73.40
global_step=5460, episodic_return=8.44
global_step=5636, episodic_return=49.86
global_step=5776, episodic_return=43.84
global_step=5844, episodic_return=13.71
global_step=5900, episodic_return=8.60
global_step=5996, episodic_return=19.03
global_step=6076, episodic_return=15.69
global_step=6136, episodic_return=10.79
global_step=6228, episodic_return=13.73
global_step=6284, episodic_return=9.25
global_step=6364, episodic_return=14.61
global_step=6520, episodic_return=33.25
global_step=6580, episodic_return=10.96
global_step=6692, episodic_return=24.40
global_step=6968, episodic_return=70.78
global_step=7080, episodic_return=17.65
global_step=7288, episodic_return=51.55
global_step=7384, episodic_return=23.07
global_step=7520, episodic_return=37.27
global_step=7600, episodic_return=11.19
global_step=7688, episodic_return=15.96
global_step=7752, episodic_return=9.14
global_step=7860, episodic_return=18.31
global_step=7936, episodic_return=16.73
global_step=8172, episodic_return=41.89
Eval: global_step=8192, reward=306.23 +/- 59.35
global_step=8248, episodic_return=12.48
global_step=8412, episodic_return=26.19
global_step=8544, episodic_return=25.34
global_step=8732, episodic_return=40.82
global_step=8832, episodic_return=19.85
global_step=8988, episodic_return=33.95
global_step=9192, episodic_return=28.63
global_step=9340, episodic_return=33.76
global_step=9460, episodic_return=13.76
global_step=9524, episodic_return=7.31
global_step=9784, episodic_return=59.38
global_step=9872, episodic_return=14.39
global_step=9984, episodic_return=15.78
global_step=10276, episodic_return=89.01
global_step=10356, episodic_return=18.77
global_step=10428, episodic_return=12.71
global_step=10604, episodic_return=24.21
global_step=10672, episodic_return=12.54
global_step=10928, episodic_return=52.28
global_step=11016, episodic_return=20.99
global_step=11152, episodic_return=13.53
global_step=11212, episodic_return=10.57
global_step=11620, episodic_return=110.49
global_step=11800, episodic_return=38.17
global_step=12072, episodic_return=57.21
global_step=12292, episodic_return=55.65
global_step=12440, episodic_return=39.16
global_step=12592, episodic_return=27.28
global_step=12668, episodic_return=12.41
global_step=13056, episodic_return=94.42
global_step=13188, episodic_return=25.69
global_step=13316, episodic_return=17.30
global_step=13644, episodic_return=95.95
global_step=13784, episodic_return=26.97
global_step=13896, episodic_return=20.70
global_step=14004, episodic_return=26.10
global_step=14428, episodic_return=149.78
global_step=14512, episodic_return=15.40
global_step=14672, episodic_return=29.90
global_step=14828, episodic_return=23.32
global_step=15100, episodic_return=57.92
global_step=15444, episodic_return=76.55
global_step=15988, episodic_return=198.62
global_step=16104, episodic_return=21.86
global_step=16284, episodic_return=25.41
global_step=16372, episodic_return=18.12
Eval: global_step=16384, reward=111.91 +/- 7.55
global_step=16480, episodic_return=20.60
global_step=16592, episodic_return=23.66
global_step=16740, episodic_return=15.91
global_step=17016, episodic_return=62.35
global_step=17508, episodic_return=228.37
global_step=17648, episodic_return=26.80
global_step=18092, episodic_return=174.50
global_step=18272, episodic_return=49.24
global_step=18540, episodic_return=55.55
global_step=18992, episodic_return=132.14
global_step=19148, episodic_return=24.04
global_step=19468, episodic_return=96.80
global_step=19592, episodic_return=22.56
global_step=19688, episodic_return=15.84
global_step=20204, episodic_return=246.07
global_step=20464, episodic_return=101.78
global_step=20716, episodic_return=89.00
global_step=20916, episodic_return=20.97
global_step=21252, episodic_return=113.17
global_step=21500, episodic_return=93.75
global_step=21928, episodic_return=146.39
global_step=22340, episodic_return=198.79
global_step=22764, episodic_return=129.67
global_step=22844, episodic_return=12.77
global_step=23584, episodic_return=271.14
global_step=23828, episodic_return=98.51
global_step=23968, episodic_return=30.33
global_step=24156, episodic_return=75.34
global_step=24328, episodic_return=31.76
global_step=24556, episodic_return=101.33
Eval: global_step=24576, reward=209.08 +/- 0.98
global_step=25060, episodic_return=238.62
