nohup: ignoring input
/scratch1/tsa5252/anaconda3/lib/python3.11/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
[[36m2026-02-27 22:55:51,383[0m][[34mOpenGL.acceleratesupport[0m][[32mINFO[0m] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'[0m
Starting PPO Teacher Training on Ant-v5...
global_step=2816, episodic_return=358.29
global_step=3276, episodic_return=62.80
global_step=3908, episodic_return=53.71
global_step=4428, episodic_return=24.05
Eval: global_step=8192, reward=981.07 +/- 2.16
global_step=8432, episodic_return=360.21
global_step=9328, episodic_return=82.60
global_step=9780, episodic_return=51.85
global_step=12508, episodic_return=309.03
global_step=13112, episodic_return=88.58
global_step=13760, episodic_return=22.94
Eval: global_step=16384, reward=967.34 +/- 8.34
global_step=16588, episodic_return=320.54
global_step=17904, episodic_return=215.41
global_step=21588, episodic_return=442.76
global_step=21828, episodic_return=32.04
Eval: global_step=24576, reward=957.39 +/- 1.32
global_step=25832, episodic_return=383.09
global_step=26072, episodic_return=22.46
global_step=28264, episodic_return=273.04
global_step=32268, episodic_return=473.34
Eval: global_step=32768, reward=971.22 +/- 8.21
global_step=36272, episodic_return=488.05
global_step=36984, episodic_return=89.80
global_step=37224, episodic_return=59.93
global_step=40600, episodic_return=407.79
Eval: global_step=40960, reward=984.38 +/- 19.87
global_step=41604, episodic_return=160.25
global_step=42796, episodic_return=223.17
global_step=46800, episodic_return=497.60
Eval: global_step=49152, reward=1018.17 +/- 7.81
global_step=50804, episodic_return=492.99
global_step=53944, episodic_return=295.81
Eval: global_step=57344, reward=987.25 +/- 19.74
global_step=57948, episodic_return=631.27
global_step=58180, episodic_return=8.87
global_step=58380, episodic_return=50.77
global_step=62384, episodic_return=451.70
global_step=63160, episodic_return=71.03
Eval: global_step=65536, reward=970.37 +/- 30.55
global_step=67164, episodic_return=378.15
global_step=71168, episodic_return=481.65
