/scratch/tsa5252/.conda/envs/grpo_env/lib/python3.11/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
Starting PPO Teacher Training on ALE/Breakout-v5...
Using DiscreteConvAgent for Atari environment.
global_step=168, episodic_return=0.00
global_step=336, episodic_return=0.00
global_step=496, episodic_return=0.00
global_step=648, episodic_return=0.00
global_step=816, episodic_return=0.00
global_step=968, episodic_return=0.00
global_step=1144, episodic_return=0.00
global_step=1296, episodic_return=0.00
global_step=1480, episodic_return=0.00
global_step=1648, episodic_return=0.00
global_step=1816, episodic_return=0.00
global_step=2000, episodic_return=0.00
global_step=2176, episodic_return=0.00
global_step=2368, episodic_return=0.00
global_step=2520, episodic_return=0.00
global_step=2952, episodic_return=1.00
global_step=3104, episodic_return=0.00
global_step=3520, episodic_return=1.00
global_step=3704, episodic_return=0.00
global_step=3880, episodic_return=0.00
global_step=4040, episodic_return=0.00
global_step=4200, episodic_return=0.00
global_step=4616, episodic_return=1.00
global_step=4792, episodic_return=0.00
global_step=4960, episodic_return=0.00
global_step=5144, episodic_return=0.00
global_step=5296, episodic_return=0.00
global_step=5448, episodic_return=0.00
global_step=5648, episodic_return=0.00
global_step=5832, episodic_return=0.00
global_step=6032, episodic_return=0.00
global_step=6200, episodic_return=0.00
global_step=6400, episodic_return=0.00
global_step=6584, episodic_return=0.00
global_step=7136, episodic_return=1.00
global_step=7288, episodic_return=0.00
global_step=7672, episodic_return=1.00
global_step=7872, episodic_return=0.00
global_step=8024, episodic_return=0.00
global_step=8176, episodic_return=0.00
global_step=8320, episodic_return=0.00
global_step=8496, episodic_return=0.00
global_step=8656, episodic_return=0.00
global_step=8816, episodic_return=0.00
global_step=8992, episodic_return=0.00
global_step=9784, episodic_return=2.00
global_step=9944, episodic_return=0.00
global_step=10112, episodic_return=0.00
global_step=10312, episodic_return=0.00
global_step=10472, episodic_return=0.00
global_step=10640, episodic_return=0.00
global_step=10808, episodic_return=0.00
global_step=11008, episodic_return=0.00
global_step=11408, episodic_return=1.00
global_step=11560, episodic_return=0.00
global_step=11720, episodic_return=0.00
global_step=11896, episodic_return=0.00
global_step=12320, episodic_return=1.00
global_step=12504, episodic_return=0.00
global_step=12680, episodic_return=0.00
global_step=13096, episodic_return=1.00
global_step=13288, episodic_return=0.00
global_step=13448, episodic_return=0.00
global_step=13608, episodic_return=0.00
global_step=13784, episodic_return=0.00
global_step=13976, episodic_return=0.00
global_step=14144, episodic_return=0.00
global_step=14344, episodic_return=0.00
global_step=14544, episodic_return=0.00
global_step=14728, episodic_return=0.00
global_step=14896, episodic_return=0.00
global_step=15320, episodic_return=1.00
global_step=15488, episodic_return=0.00
global_step=15912, episodic_return=1.00
global_step=16080, episodic_return=0.00
global_step=16488, episodic_return=1.00
global_step=16640, episodic_return=0.00
global_step=16792, episodic_return=0.00
global_step=16960, episodic_return=0.00
global_step=17368, episodic_return=1.00
global_step=17552, episodic_return=0.00
global_step=17952, episodic_return=1.00
global_step=18128, episodic_return=0.00
global_step=18504, episodic_return=1.00
global_step=18672, episodic_return=0.00
global_step=19104, episodic_return=1.00
global_step=20304, episodic_return=3.00
global_step=21056, episodic_return=2.00
global_step=21224, episodic_return=0.00
global_step=21392, episodic_return=0.00
global_step=21560, episodic_return=0.00
global_step=21984, episodic_return=1.00
global_step=22408, episodic_return=1.00
global_step=22824, episodic_return=1.00
global_step=23248, episodic_return=1.00
global_step=23640, episodic_return=1.00
global_step=23824, episodic_return=0.00
global_step=25296, episodic_return=4.00
global_step=25480, episodic_return=0.00
global_step=26288, episodic_return=2.00
global_step=27080, episodic_return=2.00
global_step=27512, episodic_return=1.00
global_step=27920, episodic_return=1.00
global_step=28088, episodic_return=0.00
global_step=28464, episodic_return=1.00
global_step=28840, episodic_return=1.00
global_step=29264, episodic_return=1.00
global_step=29432, episodic_return=0.00
global_step=29856, episodic_return=1.00
global_step=30248, episodic_return=1.00
global_step=30672, episodic_return=1.00
global_step=30816, episodic_return=0.00
global_step=31208, episodic_return=1.00
global_step=32672, episodic_return=4.00
global_step=32864, episodic_return=0.00
global_step=33048, episodic_return=0.00
global_step=33456, episodic_return=1.00
global_step=33864, episodic_return=1.00
global_step=34280, episodic_return=1.00
global_step=34448, episodic_return=0.00
global_step=34872, episodic_return=1.00
global_step=35288, episodic_return=1.00
global_step=35712, episodic_return=1.00
global_step=36104, episodic_return=1.00
global_step=36496, episodic_return=1.00
global_step=36912, episodic_return=1.00
global_step=37336, episodic_return=1.00
global_step=37720, episodic_return=1.00
global_step=38144, episodic_return=1.00
global_step=38520, episodic_return=1.00
global_step=38928, episodic_return=1.00
global_step=39096, episodic_return=0.00
global_step=39480, episodic_return=1.00
global_step=39912, episodic_return=1.00
global_step=40344, episodic_return=1.00
global_step=40744, episodic_return=1.00
global_step=41128, episodic_return=1.00
global_step=41520, episodic_return=1.00
global_step=41952, episodic_return=1.00
global_step=42720, episodic_return=2.00
global_step=43096, episodic_return=1.00
global_step=43480, episodic_return=1.00
global_step=44664, episodic_return=3.00
global_step=45064, episodic_return=1.00
global_step=45440, episodic_return=1.00
global_step=45872, episodic_return=1.00
global_step=46272, episodic_return=1.00
global_step=47776, episodic_return=4.00
global_step=48168, episodic_return=1.00
global_step=48600, episodic_return=1.00
global_step=49032, episodic_return=1.00
global_step=49440, episodic_return=1.00
global_step=49856, episodic_return=1.00
global_step=50624, episodic_return=2.00
global_step=51064, episodic_return=1.00
global_step=52552, episodic_return=4.00
global_step=52968, episodic_return=1.00
global_step=53376, episodic_return=1.00
global_step=53576, episodic_return=0.00
global_step=53968, episodic_return=1.00
global_step=54384, episodic_return=1.00
global_step=54768, episodic_return=1.00
global_step=55176, episodic_return=1.00
global_step=55328, episodic_return=0.00
global_step=55760, episodic_return=1.00
global_step=56184, episodic_return=1.00
global_step=56576, episodic_return=1.00
global_step=56976, episodic_return=1.00
global_step=57376, episodic_return=1.00
global_step=57760, episodic_return=1.00
global_step=58176, episodic_return=1.00
global_step=58576, episodic_return=1.00
global_step=58976, episodic_return=1.00
global_step=59352, episodic_return=1.00
global_step=59784, episodic_return=1.00
global_step=60160, episodic_return=1.00
global_step=60560, episodic_return=1.00
global_step=60992, episodic_return=1.00
global_step=61368, episodic_return=1.00
global_step=61784, episodic_return=1.00
global_step=62200, episodic_return=1.00
global_step=62632, episodic_return=1.00
global_step=63024, episodic_return=1.00
global_step=63408, episodic_return=1.00
global_step=63832, episodic_return=1.00
global_step=64224, episodic_return=1.00
global_step=64616, episodic_return=1.00
global_step=65000, episodic_return=1.00
global_step=65416, episodic_return=1.00
global_step=65832, episodic_return=1.00
global_step=66256, episodic_return=1.00
global_step=66664, episodic_return=1.00
global_step=67064, episodic_return=1.00
global_step=67464, episodic_return=1.00
global_step=67896, episodic_return=1.00
global_step=68320, episodic_return=1.00
global_step=69096, episodic_return=2.00
global_step=69504, episodic_return=1.00
global_step=69936, episodic_return=1.00
global_step=70752, episodic_return=2.00
global_step=71144, episodic_return=1.00
global_step=71312, episodic_return=0.00
global_step=71728, episodic_return=1.00
global_step=72120, episodic_return=1.00
global_step=72512, episodic_return=1.00
global_step=72928, episodic_return=1.00
global_step=73304, episodic_return=1.00
global_step=73488, episodic_return=0.00
global_step=73680, episodic_return=0.00
global_step=74072, episodic_return=1.00
global_step=74880, episodic_return=2.00
global_step=75288, episodic_return=1.00
global_step=76080, episodic_return=2.00
global_step=76232, episodic_return=0.00
global_step=77024, episodic_return=2.00
global_step=77432, episodic_return=1.00
global_step=77856, episodic_return=1.00
global_step=78240, episodic_return=1.00
global_step=79688, episodic_return=4.00
global_step=80080, episodic_return=1.00
global_step=80488, episodic_return=1.00
global_step=80896, episodic_return=1.00
global_step=81280, episodic_return=1.00
global_step=82424, episodic_return=3.00
global_step=82816, episodic_return=1.00
global_step=83240, episodic_return=1.00
global_step=83656, episodic_return=1.00
global_step=84040, episodic_return=1.00
global_step=84424, episodic_return=1.00
global_step=84832, episodic_return=1.00
global_step=85240, episodic_return=1.00
global_step=85632, episodic_return=1.00
global_step=86016, episodic_return=1.00
global_step=86432, episodic_return=1.00
global_step=86832, episodic_return=1.00
global_step=87248, episodic_return=1.00
global_step=87632, episodic_return=1.00
global_step=87784, episodic_return=0.00
global_step=88176, episodic_return=1.00
global_step=88344, episodic_return=0.00
global_step=88504, episodic_return=0.00
global_step=88672, episodic_return=0.00
global_step=88848, episodic_return=0.00
global_step=89248, episodic_return=1.00
global_step=89624, episodic_return=1.00
global_step=90048, episodic_return=1.00
global_step=90440, episodic_return=1.00
global_step=90848, episodic_return=1.00
global_step=91256, episodic_return=1.00
global_step=91656, episodic_return=1.00
global_step=92976, episodic_return=3.00
global_step=93384, episodic_return=1.00
global_step=93816, episodic_return=1.00
global_step=94224, episodic_return=1.00
global_step=94640, episodic_return=1.00
global_step=95424, episodic_return=2.00
global_step=95592, episodic_return=0.00
global_step=96008, episodic_return=1.00
global_step=96424, episodic_return=1.00
global_step=96832, episodic_return=1.00
global_step=97232, episodic_return=1.00
global_step=97624, episodic_return=1.00
global_step=97808, episodic_return=0.00
global_step=98192, episodic_return=1.00
global_step=99008, episodic_return=2.00
global_step=99432, episodic_return=1.00
global_step=99848, episodic_return=1.00
global_step=100280, episodic_return=1.00
Eval: global_step=100352, reward=0.70 +/- 0.46
global_step=100680, episodic_return=1.00
global_step=101096, episodic_return=1.00
global_step=101496, episodic_return=1.00
global_step=101896, episodic_return=1.00
global_step=102296, episodic_return=1.00
global_step=102728, episodic_return=1.00
global_step=103120, episodic_return=1.00
global_step=103496, episodic_return=1.00
global_step=103888, episodic_return=1.00
global_step=104304, episodic_return=1.00
global_step=104712, episodic_return=1.00
global_step=105136, episodic_return=1.00
global_step=105520, episodic_return=1.00
global_step=105720, episodic_return=0.00
global_step=105904, episodic_return=0.00
global_step=106336, episodic_return=1.00
global_step=106744, episodic_return=1.00
global_step=107120, episodic_return=1.00
global_step=107504, episodic_return=1.00
global_step=107936, episodic_return=1.00
global_step=108320, episodic_return=1.00
global_step=108720, episodic_return=1.00
global_step=108880, episodic_return=0.00
global_step=110352, episodic_return=4.00
global_step=110776, episodic_return=1.00
global_step=111208, episodic_return=1.00
global_step=111584, episodic_return=1.00
global_step=112000, episodic_return=1.00
global_step=112392, episodic_return=1.00
global_step=112800, episodic_return=1.00
global_step=113336, episodic_return=1.00
global_step=113720, episodic_return=1.00
global_step=114144, episodic_return=1.00
global_step=114520, episodic_return=1.00
global_step=114904, episodic_return=1.00
global_step=115336, episodic_return=1.00
global_step=115760, episodic_return=1.00
global_step=116160, episodic_return=1.00
global_step=116560, episodic_return=1.00
global_step=116984, episodic_return=1.00
global_step=117408, episodic_return=1.00
global_step=117792, episodic_return=1.00
global_step=118176, episodic_return=1.00
global_step=118952, episodic_return=2.00
global_step=119336, episodic_return=1.00
global_step=119744, episodic_return=1.00
global_step=120144, episodic_return=1.00
global_step=120568, episodic_return=1.00
global_step=120976, episodic_return=1.00
global_step=121408, episodic_return=1.00
global_step=121840, episodic_return=1.00
global_step=122216, episodic_return=1.00
global_step=122608, episodic_return=1.00
global_step=123016, episodic_return=1.00
global_step=123424, episodic_return=1.00
global_step=123832, episodic_return=1.00
global_step=124616, episodic_return=2.00
global_step=125048, episodic_return=1.00
global_step=125824, episodic_return=2.00
global_step=126240, episodic_return=1.00
global_step=126616, episodic_return=1.00
global_step=127048, episodic_return=1.00
global_step=127432, episodic_return=1.00
global_step=128232, episodic_return=2.00
global_step=129728, episodic_return=4.00
global_step=130120, episodic_return=1.00
global_step=130536, episodic_return=1.00
global_step=130912, episodic_return=1.00
global_step=131072, episodic_return=0.00
global_step=131464, episodic_return=1.00
global_step=131888, episodic_return=1.00
global_step=132304, episodic_return=1.00
global_step=132704, episodic_return=1.00
global_step=133648, episodic_return=2.00
global_step=134080, episodic_return=1.00
global_step=134496, episodic_return=1.00
global_step=134920, episodic_return=1.00
global_step=135344, episodic_return=1.00
global_step=136568, episodic_return=3.00
global_step=138088, episodic_return=4.00
global_step=138472, episodic_return=1.00
global_step=138880, episodic_return=1.00
global_step=139072, episodic_return=0.00
global_step=139456, episodic_return=1.00
global_step=139872, episodic_return=1.00
global_step=140248, episodic_return=1.00
global_step=140624, episodic_return=1.00
global_step=141416, episodic_return=2.00
global_step=141808, episodic_return=1.00
global_step=142208, episodic_return=1.00
global_step=142640, episodic_return=1.00
global_step=143040, episodic_return=1.00
global_step=143464, episodic_return=1.00
global_step=143864, episodic_return=1.00
global_step=144264, episodic_return=1.00
global_step=144696, episodic_return=1.00
global_step=145096, episodic_return=1.00
global_step=145488, episodic_return=1.00
global_step=145904, episodic_return=1.00
global_step=146280, episodic_return=1.00
global_step=146656, episodic_return=1.00
