/scratch1/tsa5252/anaconda3/envs/spiceenv/lib/python3.8/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
[[36m2026-03-01 13:05:55,785[0m][[34mOpenGL.acceleratesupport[0m][[32mINFO[0m] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'[0m
Starting PPO Teacher Training on Hopper-v5...
Initialized ContinuousAgent for Hopper-v5 with actor_logstd = 0.0
Initialized ContinuousAgent for Hopper-v5 with actor_logstd = 0.0
global_step=80, episodic_return=17.66
global_step=116, episodic_return=3.10
global_step=224, episodic_return=5.74
global_step=276, episodic_return=6.43
global_step=320, episodic_return=5.22
global_step=368, episodic_return=6.24
global_step=508, episodic_return=19.60
global_step=636, episodic_return=27.54
global_step=736, episodic_return=12.45
global_step=812, episodic_return=6.09
global_step=852, episodic_return=5.52
global_step=892, episodic_return=4.84
global_step=952, episodic_return=12.52
global_step=1132, episodic_return=64.06
global_step=1216, episodic_return=20.00
global_step=1400, episodic_return=24.95
global_step=1484, episodic_return=14.50
global_step=1532, episodic_return=6.28
global_step=1616, episodic_return=7.98
global_step=1664, episodic_return=5.48
global_step=1712, episodic_return=7.54
global_step=1776, episodic_return=8.75
global_step=1832, episodic_return=7.60
global_step=1900, episodic_return=8.14
global_step=2176, episodic_return=76.26
global_step=2264, episodic_return=6.25
global_step=2336, episodic_return=8.87
global_step=2392, episodic_return=9.93
global_step=2736, episodic_return=158.72
global_step=2812, episodic_return=5.12
global_step=2900, episodic_return=16.88
global_step=2944, episodic_return=6.00
global_step=3108, episodic_return=21.21
global_step=3196, episodic_return=20.08
global_step=3280, episodic_return=14.62
global_step=3608, episodic_return=83.50
global_step=3688, episodic_return=15.96
global_step=3756, episodic_return=7.34
global_step=3800, episodic_return=6.31
global_step=3884, episodic_return=9.00
global_step=4044, episodic_return=46.10
global_step=4096, episodic_return=6.47
global_step=4204, episodic_return=14.97
global_step=4264, episodic_return=13.67
global_step=4340, episodic_return=14.14
global_step=4412, episodic_return=10.14
global_step=4456, episodic_return=6.21
global_step=4512, episodic_return=11.12
global_step=4552, episodic_return=5.13
global_step=4616, episodic_return=14.80
global_step=4676, episodic_return=10.27
global_step=4716, episodic_return=5.37
global_step=4768, episodic_return=9.46
global_step=4832, episodic_return=12.46
global_step=4888, episodic_return=5.27
global_step=4952, episodic_return=7.84
global_step=5028, episodic_return=13.85
global_step=5128, episodic_return=21.55
global_step=5220, episodic_return=7.02
global_step=5340, episodic_return=35.52
global_step=5400, episodic_return=11.96
global_step=5452, episodic_return=8.34
global_step=5516, episodic_return=8.93
global_step=5596, episodic_return=13.67
global_step=5672, episodic_return=11.25
global_step=5728, episodic_return=6.10
global_step=5816, episodic_return=18.70
