/scratch1/tsa5252/anaconda3/envs/spiceenv/lib/python3.8/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
[[36m2026-03-01 17:08:53,506[0m][[34mOpenGL.acceleratesupport[0m][[32mINFO[0m] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'[0m
Starting PPO Teacher Training on Humanoid-v5...
global_step=72, episodic_return=75.93
global_step=160, episodic_return=95.43
global_step=236, episodic_return=80.72
global_step=320, episodic_return=90.10
global_step=420, episodic_return=97.80
global_step=520, episodic_return=112.68
global_step=668, episodic_return=168.82
global_step=808, episodic_return=153.58
global_step=880, episodic_return=75.01
global_step=960, episodic_return=84.84
global_step=1036, episodic_return=78.60
global_step=1108, episodic_return=74.38
global_step=1176, episodic_return=70.85
global_step=1256, episodic_return=84.59
global_step=1328, episodic_return=75.85
global_step=1408, episodic_return=82.94
global_step=1484, episodic_return=80.03
global_step=1560, episodic_return=77.32
global_step=1676, episodic_return=127.73
global_step=1748, episodic_return=75.01
global_step=1820, episodic_return=75.76
global_step=1892, episodic_return=74.69
global_step=2008, episodic_return=126.41
global_step=2140, episodic_return=146.31
global_step=2212, episodic_return=75.32
global_step=2280, episodic_return=70.90
global_step=2388, episodic_return=116.92
global_step=2468, episodic_return=83.06
global_step=2540, episodic_return=74.48
global_step=2652, episodic_return=118.53
global_step=2732, episodic_return=85.10
global_step=2856, episodic_return=139.43
global_step=2964, episodic_return=106.68
global_step=3048, episodic_return=90.13
global_step=3128, episodic_return=84.82
global_step=3208, episodic_return=84.02
global_step=3276, episodic_return=70.89
global_step=3380, episodic_return=104.23
global_step=3460, episodic_return=80.66
global_step=3532, episodic_return=75.76
global_step=3604, episodic_return=69.95
global_step=3688, episodic_return=88.73
global_step=3860, episodic_return=187.20
global_step=3944, episodic_return=89.83
global_step=4020, episodic_return=81.69
global_step=4136, episodic_return=115.41
global_step=4228, episodic_return=97.10
global_step=4372, episodic_return=158.73
global_step=4452, episodic_return=86.58
global_step=4572, episodic_return=141.29
global_step=4664, episodic_return=96.25
global_step=4736, episodic_return=75.57
global_step=4816, episodic_return=83.45
global_step=4884, episodic_return=65.25
global_step=5028, episodic_return=157.38
global_step=5100, episodic_return=75.87
global_step=5172, episodic_return=74.99
global_step=5284, episodic_return=120.85
global_step=5376, episodic_return=98.87
global_step=5456, episodic_return=84.17
global_step=5568, episodic_return=121.66
global_step=5648, episodic_return=77.77
global_step=5768, episodic_return=136.76
global_step=5944, episodic_return=193.56
global_step=6024, episodic_return=81.92
global_step=6104, episodic_return=86.64
global_step=6176, episodic_return=75.38
global_step=6256, episodic_return=84.77
global_step=6336, episodic_return=84.25
global_step=6436, episodic_return=111.97
global_step=6508, episodic_return=75.94
global_step=6616, episodic_return=110.90
global_step=6712, episodic_return=88.10
global_step=6780, episodic_return=70.75
global_step=6852, episodic_return=75.18
global_step=7008, episodic_return=173.62
global_step=7072, episodic_return=66.10
global_step=7192, episodic_return=135.50
global_step=7260, episodic_return=68.53
global_step=7332, episodic_return=75.31
global_step=7408, episodic_return=80.24
global_step=7508, episodic_return=105.93
global_step=7592, episodic_return=86.18
global_step=7692, episodic_return=109.96
global_step=7760, episodic_return=70.91
global_step=7872, episodic_return=122.83
global_step=7944, episodic_return=76.06
global_step=8020, episodic_return=80.13
global_step=8140, episodic_return=132.16
Eval: global_step=8192, reward=219.45 +/- 25.34
global_step=8212, episodic_return=75.54
global_step=8280, episodic_return=68.92
global_step=8396, episodic_return=118.18
global_step=8480, episodic_return=89.34
global_step=8636, episodic_return=169.89
global_step=8756, episodic_return=128.52
global_step=8836, episodic_return=79.91
global_step=8924, episodic_return=89.84
global_step=9012, episodic_return=85.49
global_step=9080, episodic_return=69.58
global_step=9160, episodic_return=85.17
global_step=9248, episodic_return=90.21
global_step=9328, episodic_return=82.44
global_step=9396, episodic_return=71.05
global_step=9472, episodic_return=80.32
global_step=9548, episodic_return=79.90
global_step=9640, episodic_return=97.63
global_step=9720, episodic_return=84.95
global_step=9788, episodic_return=69.61
global_step=9888, episodic_return=110.75
global_step=10000, episodic_return=117.34
global_step=10080, episodic_return=82.92
global_step=10212, episodic_return=145.69
global_step=10352, episodic_return=161.21
global_step=10436, episodic_return=88.76
global_step=10520, episodic_return=84.74
global_step=10588, episodic_return=70.01
global_step=10720, episodic_return=145.91
global_step=10868, episodic_return=159.37
global_step=10936, episodic_return=69.69
global_step=11036, episodic_return=104.93
global_step=11108, episodic_return=75.33
global_step=11188, episodic_return=87.35
global_step=11264, episodic_return=80.39
global_step=11372, episodic_return=111.75
global_step=11444, episodic_return=74.26
global_step=11512, episodic_return=70.40
global_step=11600, episodic_return=92.37
global_step=11668, episodic_return=70.50
global_step=11740, episodic_return=75.41
global_step=11816, episodic_return=79.50
global_step=11884, episodic_return=70.03
global_step=11952, episodic_return=68.51
global_step=12020, episodic_return=70.71
global_step=12112, episodic_return=98.31
global_step=12184, episodic_return=75.78
global_step=12324, episodic_return=158.75
global_step=12400, episodic_return=73.12
global_step=12468, episodic_return=70.77
global_step=12556, episodic_return=93.33
global_step=12688, episodic_return=136.42
global_step=12760, episodic_return=75.29
global_step=12844, episodic_return=88.99
global_step=12920, episodic_return=79.62
global_step=13052, episodic_return=158.09
global_step=13164, episodic_return=121.30
global_step=13244, episodic_return=86.56
